ETUNIMI;YHTEENSÄ
Gerd;346
Bianca;345
Barbara;344
Merituuli;343
Ninja;340
Fatima;340
Armiida;339
Lilly;336
Anri;336
Eriikka;335
Filippa;335
Ann-Sofie;334
Evita;334
Carla;333
Sabrina;332
Sonia;332
Abdi;331
Kajsa;330
Suvi-Tuuli;329
Rosa-Maria;329
Susa;328
Margetta;326
Eeva-Leena;325
Annaliisa;324
Thea;322
Arja-Liisa;322
Henriette;321
Desiree;321
Jenina;321
Valeria;321
Louna;320
Odessa;320
Hildegard;319
Eva-Maria;319
Ann-Charlotte;319
Josephine;319
Sanja;318
Eeva-Kaisa;316
Eeva-Riitta;316
Anna-Lena;315
Gunborg;315
Ruusa;314
Evi;312
Etel;311
Melisa;311
Marisa;311
Annabella;309
Maija-Riitta;308
Anna-Kaarina;307
Elmi;305
Evelyn;305
Natasha;304
Maini;304
Jadessa;303
Denise;303
Jessi;302
Disa;302
Maikki;301
Esther;300
Salla-Mari;300
Aino-Maria;297
Klara;295
Marke;295
Pauline;295
Rose-Marie;294
Janniina;292
Hanna-Liisa;292
Anna-Riitta;291
Hanna-Riikka;290
Naomi;290
Seidi;290
Hellikki;289
Petronella;288
Arla;288
Estelle;288
Annamaria;287
Kaija-Leena;287
Suvi-Tuulia;287
Auri;286
Caroliina;285
Klaara;285
Anna-Riikka;285
Marie-Louise;285
Hassan;285
Miila;284
Jannica;284
Lillemor;283
Sofianna;283
Adina;283
Mariina;282
Jennie;282
Aisha;281
Hanni;281
Eeva-Kaarina;280
Illusia;280
Lia;280
Auni;279
Arja-Leena;279
Theresia;278
Malviina;277
Janet;277
Elli-Noora;276
Marietta;275
Usva;273
Majlis;273
Nette;273
Jolanda;273
Sirke;273
Karola;271
Ylva;270
Ann-Kristin;270
Alexia;268
Salome;267
Nadia;267
Tiiu;266
Adalmina;266
Karelia;265
Ninna;265
Amira;263
Judith;262
Gurli;262
Marion;262
Aino-Maija;261
Sissi;261
Isabell;260
Tekla;260
Freja;260
Nancy;259
Lyyti;259
Annakaisa;259
Sirpa-Liisa;258
Rianna;258
Martha;258
Ingalill;257
Grace;256
Valdine;256
Emelia;255
Rosaliina;255
Maia;255
Pieta;255
Kaija-Liisa;253
Gunnevi;253
Alviina;253
Armida;252
Liia;252
Stephanie;251
Belinda;251
Minna-Maria;251
Desiré;250
Sally;250
Meimi;250
Selena;249
Ulrica;248
Simone;247
Solja;245
Clarissa;244
Melanie;243
Lotte;243
Riitta-Leena;242
Dina;242
Annamaija;242
Sannamari;241
Celina;241
Minnea;241
Bernice;241
Helle;241
Ann-Britt;240
Ksenia;239
Dagny;239
Anitra;239
Pirjetta;239
Sanna-Maija;239
Telma;238
Margot;238
Ann-Louise;238
Gudrun;237
Julie;237
Ingela;237
Pia-Maria;237
Betty;236
Tilde;235
Abdullahi;235
Ulla-Riitta;235
Gerda;234
Bodil;234
Merja-Liisa;233
Salma;233
Zahra;232
Kim;232
Desirée;231
Vivan;230
Emmy;230
Adolfiina;229
Malena;229
Christin;227
Leni;227
Tinka;226
Pilvikki;226
Heidi-Maria;226
Meri-Tuulia;225
Karen;225
Lyydi;225
Eliisabet;225
Nicola;224
Severiina;224
Fia;223
Viliina;223
Anne-Maija;223
Judit;221
Antonina;219
Carin;219
Eden;218
Rachel;217
Kristel;217
Reea;215
Noona;215
Alessia;214
Ihanelma;213
Tia-Maria;213
Sallamari;213
Maria-Liisa;213
Juliet;213
Nanni;210
Satu-Maarit;210
Tarleena;209
Adessa;209
Sanna-Leena;209
Anastacia;209
Ilmatar;208
Venny;207
Minna-Mari;207
Marta;206
Estella;206
Eija-Riitta;205
Anni-Maria;205
Larisa;205
Seliina;204
Maryam;204
Piitu;203
Daria;203
Evelin;203
Sina;203
Adriana;203
Suvituuli;202
Ulla-Britt;202
Marjaleena;202
Ani;201
Leonora;201
Mercedes;201
Manta;200
Milma;200
Ella-Maria;199
Crista;199
Annaleena;199
Cindy;199
Inga-Britt;199
Katinka;199
Hille;198
Iia;198
Myy;198
Tindra;197
Santra;197
Ngoc;197
Anne-Marja;195
Yasmine;195
Alla;195
Katerina;195
